Jogadores,Nacionalidade,Posição,Idade,Desarmes,Desarmes que Geram Posse,Desarmes no Terço Defensivo,Desarmes no Terço Central,Desarmes no Terço Ofensivo,Desarmes de Dribladores,Tentativas de Desarme de Drible,Desarmes Perdidos,Bloqueios,Chutes Bloqueados,Passes Bloqueados,Interceptação,Afastamentos,Erros que Geram Chute,Temporada
Sergio Arribas,Espanha,Atacante,18,3,1,2,1,0,1,4,3,2,0,2,4,2,0,2021
Marvin,Espanha,Atacante,20,3,2,0,3,0,1,2,1,1,0,1,2,3,0,2021
Andriy Lunin,Ucrânia,Goleiro,21,,0,,,,,,,,,,0,,,2021
Hugo Duro,Espanha,Atacante,20,1,1,0,0,1,1,1,0,1,0,1,0,0,0,2021
Borja Mayoral,Espanha,Atacante,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2021
Casemiro,Brasil,Meio Campista,27,119,80,56,55,8,48,120,72,60,11,49,84,81,0,2020
Karim Benzema,França,Atacante,31,22,12,4,14,4,3,18,15,22,4,18,9,34,1,2020
Thibaut Courtois,Bélgica,Goleiro,27,0,0,0,0,0,0,2,2,0,0,0,3,26,3,2020
Raphaël Varane,França,Defensor,26,39,25,20,18,1,15,30,15,38,21,17,47,146,3,2020
Sergio Ramos,Espanha,Defensor,33,49,38,29,17,3,23,48,25,28,14,14,73,119,5,2020
Dani Carvajal,Espanha,Defensor,27,80,60,40,31,9,32,60,28,57,21,36,47,68,0,2020
Toni Kroos,Alemanha,Meio Campista,29,71,44,23,35,13,24,88,64,31,0,31,34,17,0,2020
Federico Valverde,Uruguai,Meio Campista,21,46,28,11,22,13,15,51,36,46,5,41,37,15,2,2020
Luka Modrić,Cróacia,Meio Campista,33,41,23,9,18,14,17,47,30,11,2,9,30,16,1,2020
Ferland Mendy,França,Defensor,24,40,31,27,10,3,15,24,9,20,5,15,30,34,1,2020
Marcelo,Brasil,Defensor,31,22,16,9,9,4,10,30,20,22,2,20,26,25,0,2020
Vinicius Júnior,Brasil,Atacante,19,31,22,14,10,7,9,34,25,14,0,14,6,2,0,2020
Isco,Espanha,"Meio Campista, Atacante",27,19,14,6,11,2,7,19,12,10,0,10,10,4,1,2020
Eden Hazard,Bélgica,Atacante,28,10,6,3,3,4,4,21,17,5,0,5,9,0,0,2020
Éder Militão,Brasil,Defensor,21,32,22,21,10,1,12,20,8,20,13,7,32,51,0,2020
Rodrygo,Brasil,Atacante,18,12,6,4,6,2,4,25,21,15,0,15,16,7,0,2020
Gareth Bale,País de Gales,"Atacante, Meio Campista",30,9,5,5,2,2,3,15,12,9,2,7,10,10,0,2020
Lucas Vázquez,Espanha,"Atacante, Meio Campista",28,23,20,10,13,0,11,30,19,12,0,12,11,8,1,2020
Luka Jović,Sérvia,Atacante,21,3,2,0,0,3,1,3,2,1,0,1,2,2,0,2020
Alphonse Areola,França,Goleiro,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
James Rodríguez,Colômbia,Meio Campista,28,18,17,7,8,3,6,15,9,3,0,3,3,2,1,2020
Nacho,Espanha,Defensor,29,13,15,6,5,2,7,11,4,6,3,3,17,18,1,2020
Álvaro Odriozola,Espanha,Defensor,23,5,2,4,0,1,5,8,3,5,1,4,2,11,0,2020
Marco Asensio,Espanha,Atacante,23,4,3,3,1,0,1,4,3,2,0,2,1,4,0,2020
Brahim Díaz,Marrocos,Atacante,19,1,1,0,1,0,0,2,2,2,0,2,1,0,0,2020
Mariano,República Dominicana,"Atacante, Meio Campista",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2020
Karim Benzema,França,Atacante,30,26,14,2,12,12,2,18,16,17,1,16,11,33,0,2019
Raphaël Varane,França,Defensor,25,36,24,26,8,2,15,20,5,31,11,20,46,152,1,2019
Sergio Ramos,Espanha,Defensor,32,51,44,35,12,4,29,48,19,32,16,16,64,103,2,2019
Luka Modrić,Cróacia,Meio Campista,32,57,36,14,29,14,18,60,42,21,3,18,48,7,1,2019
Toni Kroos,Alemanha,Meio Campista,28,68,53,21,33,14,19,79,60,29,6,23,27,16,5,2019
Casemiro,Brasil,Meio Campista,26,100,78,52,40,8,43,108,65,67,18,49,64,64,3,2019
Thibaut Courtois,Bélgica,Goleiro,26,0,0,0,0,0,0,2,2,0,0,0,2,7,1,2019
Dani Carvajal,Espanha,Defensor,26,49,42,22,19,8,21,47,26,35,10,25,43,45,2,2019
Marcelo,Brasil,Defensor,30,38,30,19,13,6,17,45,28,24,2,22,26,26,0,2019
Lucas Vázquez,Espanha,"Atacante, Defensor",27,55,52,14,27,14,20,48,28,20,1,19,15,13,0,2019
Nacho,Espanha,Defensor,28,37,31,23,9,5,18,34,16,26,9,17,54,78,1,2019
Gareth Bale,País de Gales,Atacante,29,18,8,6,8,4,7,25,18,21,3,18,16,15,0,2019
Marco Asensio,Espanha,"Atacante, Meio Campista",22,14,12,4,6,4,2,26,24,16,1,15,23,8,0,2019
Keylor Navas,Costa Rica,Goleiro,31,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2019
Dani Ceballos,Espanha,Meio Campista,21,32,33,9,16,7,11,31,20,31,1,30,21,7,0,2019
Álvaro Odriozola,Espanha,Defensor,22,33,34,18,11,4,18,22,4,14,3,11,21,19,1,2019
Sergio Reguilón,Espanha,Defensor,21,32,26,19,12,1,15,28,13,17,5,12,35,49,1,2019
Vinicius Júnior,Brasil,Atacante,18,16,16,6,8,2,5,19,14,8,1,7,8,1,0,2019
Isco,Espanha,"Atacante, Meio Campista",26,33,22,16,10,7,16,39,23,10,1,9,10,3,0,2019
Federico Valverde,Uruguai,Meio Campista,20,17,21,6,9,2,9,19,10,13,2,11,31,12,0,2019
Marcos Llorente,Espanha,Meio Campista,23,20,22,8,10,2,11,24,13,8,0,8,14,13,0,2019
Mariano,República Dominicana,Atacante,24,2,2,1,1,0,0,3,3,4,0,4,1,4,0,2019
Jesús Vallejo,Espanha,Defensor,21,7,8,5,2,0,6,7,1,6,5,1,12,16,0,2019
Brahim Díaz,Marrocos,Atacante,18,9,9,5,4,0,3,8,5,2,0,2,0,0,0,2019
Javi Sánchez,Espanha,Defensor,21,3,4,3,0,0,2,3,1,2,1,1,5,12,0,2019
Luca Zidane,França,Goleiro,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Cristo González,Espanha,Atacante,20,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2019
Fran Garcia,Espanha,Defensor,18,,1,,,,,,,,,,2,,,2019
Borja Mayoral,Espanha,Atacante,21,,0,,,,,,,,,,0,,,2019
Álvaro Fidalgo,Espanha,Meio Campista,21,,0,,,,,,,,,,0,,,2019
