Jogador,Nacionalidade,Posição,Idade,Cartões Amarelos,Cartões Vermelhos,2° Cartões Amarelos,Faltas Cometidas,Faltas Sofridas,Impedimentos,Cruzamentos,Interceptações,Desarmes Ganhos,Pênaltis Convertidos,Pênaltis Cometidos,Gols Contras,Bolas Perdidas Recuperadas,Duelos Aéreos Ganhos,Duelos Aéreos Perdidos,Temporada
Ferland Mendy,França,Defensor,24,9,1,1,33,37,1,89,30,31,1,0,0,118,29,27,2020
Marcelo,Brasil,Defensor,31,3,0,0,12,22,1,101,26,16,2,0,0,106,10,9,2020
Vinicius Júnior,Brasil,Atacante,19,6,0,0,28,36,16,46,6,22,1,0,0,81,5,4,2020
Isco,Espanha,"Meio Campista, Atacante",27,2,0,0,20,38,7,45,10,14,0,0,0,80,6,20,2020
Eden Hazard,Bélgica,Atacante,28,1,0,0,14,66,3,21,9,6,3,0,0,81,7,10,2020
Éder Militão,Brasil,Defensor,21,4,0,0,22,22,2,2,32,22,0,0,0,66,39,13,2020
Rodrygo,Brasil,Atacante,18,0,0,0,10,24,5,56,16,6,0,0,0,57,9,30,2020
Gareth Bale,País de Gales,"Atacante, Meio Campista",30,4,1,1,17,12,5,49,10,5,0,0,0,38,30,13,2020
Lucas Vázquez,Espanha,"Atacante, Meio Campista",28,1,0,0,32,18,5,59,11,20,1,0,0,75,3,8,2020
Luka Jović,Sérvia,Atacante,21,2,0,0,7,3,5,0,2,2,0,0,0,12,22,19,2020
Alphonse Areola,França,Goleiro,26,1,0,0,1,0,0,0,0,0,0,1,0,11,1,0,2020
James Rodríguez,Colômbia,Meio Campista,28,1,0,0,11,9,3,33,3,17,0,0,0,20,5,6,2020
Nacho,Espanha,Defensor,29,3,0,0,11,9,0,26,17,15,0,0,0,26,13,11,2020
Álvaro Odriozola,Espanha,Defensor,23,3,1,1,9,5,0,9,2,2,0,0,0,18,0,7,2020
Marco Asensio,Espanha,Atacante,23,0,0,0,2,4,1,12,1,3,0,0,0,18,2,4,2020
Brahim Díaz,Marrocos,Atacante,19,1,0,0,4,6,0,1,1,1,0,0,0,3,0,2,2020
Mariano,República Dominicana,"Atacante, Meio Campista",25,1,0,0,4,0,0,0,0,0,0,0,0,2,2,2,2020
Karim Benzema,França,Atacante,30,1,0,0,27,28,42,29,11,14,1,0,0,71,52,66,2019
Raphaël Varane,França,Defensor,25,1,1,0,14,14,1,3,46,24,0,2,1,176,101,42,2019
Sergio Ramos,Espanha,Defensor,32,13,1,1,47,42,5,2,64,44,0,1,0,218,70,38,2019
Luka Modrić,Cróacia,Meio Campista,32,8,0,0,38,54,5,88,48,36,0,0,0,189,14,20,2019
Toni Kroos,Alemanha,Meio Campista,28,3,0,0,37,76,2,208,27,53,0,0,0,223,25,18,2019
Casemiro,Brasil,Meio Campista,26,9,1,1,76,57,1,10,64,78,1,3,0,240,95,71,2019
Thibaut Courtois,Bélgica,Goleiro,26,2,0,0,0,5,0,0,2,0,0,0,0,28,7,0,2019
Dani Carvajal,Espanha,Defensor,26,12,0,0,42,42,2,87,43,42,0,0,0,166,23,25,2019
Marcelo,Brasil,Defensor,30,8,0,0,25,32,7,105,26,30,0,0,0,130,8,27,2019
Lucas Vázquez,Espanha,"Atacante, Defensor",27,9,1,1,69,69,6,103,15,52,0,0,0,99,8,25,2019
Nacho,Espanha,Defensor,28,12,2,2,34,17,2,17,54,31,0,0,0,129,40,35,2019
Gareth Bale,País de Gales,Atacante,29,4,0,0,24,27,21,92,16,8,0,0,0,46,49,41,2019
Marco Asensio,Espanha,"Atacante, Meio Campista",22,4,0,0,25,31,10,109,23,12,3,0,0,95,6,17,2019
Keylor Navas,Costa Rica,Goleiro,31,1,0,0,0,4,0,0,2,0,0,0,0,27,4,0,2019
Dani Ceballos,Espanha,Meio Campista,21,5,0,0,24,53,1,16,21,33,0,0,0,112,10,18,2019
Álvaro Odriozola,Espanha,Defensor,22,2,0,0,20,24,6,89,21,34,3,1,0,70,2,17,2019
Sergio Reguilón,Espanha,Defensor,21,4,0,0,35,38,0,56,35,26,0,1,0,90,19,18,2019
Vinicius Júnior,Brasil,Atacante,18,1,0,0,21,43,12,41,8,16,2,0,0,42,1,3,2019
Isco,Espanha,"Atacante, Meio Campista",26,4,0,0,26,49,6,64,10,22,0,0,0,78,6,19,2019
Federico Valverde,Uruguai,Meio Campista,20,6,0,0,23,2,1,6,31,21,0,0,0,59,10,7,2019
Marcos Llorente,Espanha,Meio Campista,23,2,0,0,23,15,1,3,14,22,0,1,0,58,4,4,2019
Mariano,República Dominicana,Atacante,24,2,0,0,10,6,16,1,1,2,0,0,0,6,15,16,2019
Jesús Vallejo,Espanha,Defensor,21,1,1,0,5,2,0,0,12,8,0,2,0,22,9,8,2019
Brahim Díaz,Marrocos,Atacante,18,0,0,0,5,16,0,5,0,9,0,0,0,13,0,5,2019
Javi Sánchez,Espanha,Defensor,21,2,0,0,7,0,0,0,5,4,0,1,0,10,7,4,2019
Luca Zidane,França,Goleiro,20,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2019
Cristo González,Espanha,Atacante,20,0,0,0,1,0,0,0,1,1,0,0,0,2,0,2,2019
Fran Garcia,Espanha,Defensor,18,0,0,0,0,0,0,1,2,1,0,0,0,,,,2019
Borja Mayoral,Espanha,Atacante,21,0,0,0,1,0,0,0,0,0,0,0,0,,,,2019
Álvaro Fidalgo,Espanha,Meio Campista,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,2019
