Jogador,Nacionalidade,Posição,Idade,Ações Criadoras de Chute,Passes p/ Chute (Jogo Corrido),Passes p/ Chute (Bola Parada),Dribles Criadores de Chute,Chutes Criadores de Novo Chute,Faltas Sofridas p/ Chute,Recuperações para Chute,Ações Criadoras de Gol,Temporada
Marcelo,Brasil,Defensor,30,91,78,2,5,4,1,1,8,2019
Lucas Vázquez,Espanha,"Atacante, Defensor",27,70,60,1,4,2,3,0,5,2019
Nacho,Espanha,Defensor,28,20,15,2,1,1,0,1,1,2019
Gareth Bale,País de Gales,Atacante,29,71,49,1,9,7,4,1,12,2019
Marco Asensio,Espanha,"Atacante, Meio Campista",22,87,62,6,8,5,5,1,10,2019
Keylor Navas,Costa Rica,Goleiro,31,0,0,0,0,0,0,0,0,2019
Dani Ceballos,Espanha,Meio Campista,21,70,60,0,1,4,4,1,3,2019
Álvaro Odriozola,Espanha,Defensor,22,44,36,0,2,0,6,0,5,2019
Sergio Reguilón,Espanha,Defensor,21,40,36,1,1,2,0,0,6,2019
Vinicius Júnior,Brasil,Atacante,18,59,36,1,10,6,5,1,9,2019
Isco,Espanha,"Atacante, Meio Campista",26,82,67,5,1,3,5,1,7,2019
Federico Valverde,Uruguai,Meio Campista,20,26,24,0,1,0,0,1,2,2019
Marcos Llorente,Espanha,Meio Campista,23,8,7,0,0,0,1,0,1,2019
Mariano,República Dominicana,Atacante,24,14,12,0,0,2,0,0,0,2019
Jesús Vallejo,Espanha,Defensor,21,0,0,0,0,0,0,0,0,2019
Brahim Díaz,Marrocos,Atacante,18,21,11,0,7,0,3,0,3,2019
Javi Sánchez,Espanha,Defensor,21,0,0,0,0,0,0,0,0,2019
Luca Zidane,França,Goleiro,20,0,0,0,0,0,0,0,0,2019
Cristo González,Espanha,Atacante,20,2,2,0,0,0,0,0,0,2019
Fran Garcia,Espanha,Defensor,18,,,,,,,,,2019
Borja Mayoral,Espanha,Atacante,21,,,,,,,,,2019
Álvaro Fidalgo,Espanha,Meio Campista,21,,,,,,,,,2019
